,questions,distilbert_answers,roberta_answers
0,What is the opening of the vagina often covered partially?,hymen,hymen
1,Where are truefalse c leydig cells found?,"zona  pellucida  and  the  plasma 
membrane","zona  pellucida  and  the  plasma 
membrane"
2,What is connected to lactiferous duct through which milk is sucked out?,vagina,vagina
3,What do sertoli cells provide?,nutrition to the germ cells,nutrition to the germ cells
4,What is the primary female sex organs that produce the female?,Ovaries,Ovaries
5,What is the structure that provides vascular connection between foetus and uterus called?,umbilical cord,umbilical cord
6,What is the ejaculatory duct?,urethra,urethra
7,What is parturition?,delivery of the baby,delivery of the baby
8,What is the process called that transforms spermatids?,fertilisation,fertilisation
9,What is the external genitalia rationalised in 202324?,pelvic region,pelvic region
10,What glands are included in the male accessory glands?,testis,testis
11,What type of cells produce and?,haploid gametes,haploid gametes
12,What is the process of formation of mature female gametes?,gametogenesis,gametogenesis
13,What is the cavity of the cervix?,cervical canal,cervical canal
14,What is the female gamete ovum produced by?,gametogenesis,gametogenesis
15,What is the name of the reproductive event in humans?,menopause,menopause
16,What is the outer thin membranous perimetrium?,endometrium,endometrium
17,What is the duration of the menstrual cycle?,9  months,9  months
18,What do leydig cells secrete?,androgens,androgens
19,What is the body part of a human sperm?,a tail,a tail
20,What is not a reliable indicator of virginity or sexual experience truefalse g presence or absence of hymen is not a reliable indicator of virginity or sexual experience truefalse?,the presence or absence of hymen,the presence or absence of hymen
21,What is fertilisation?,fusion of male and female gametes,fusion of male and female gametes
22,What is oogenesis give a brief account of oogenesis?,A  diagrammatic  representation,A  diagrammatic  representation
23,How many highly coiled seminiferous tubules does each lobule contain?,one  to three,one  to three
24,What is the primary oocyte within the tertiary follicle?,zona  pellucida,zona  pellucida
25,What is the process of spermatogenesis?,fertilisation,fertilisation
26,What phase is followed by the follicular phase?,menstrual  phase,menstrual  phase
27,What is not?,placenta,placenta
28,What is necessary for implantation of fertilised pads after every 45 hrs as per?,uterine  wall,uterine  wall
29,What percentage of sperms carry the y chromosome?,50 per cent,50 per cent
30,What are the two types of cells that line the inside of a seminiferous tubule?,peripheral cortex and an inner medulla,peripheral cortex and an inner medulla
31,What hormone is secreted by?,progesterone,progesterone
32,What is the inner cell mass called?,embryo,embryo
33,What are labia minora?,fleshy folds of tissue,fleshy folds of tissue
34,What is the placenta responsible for?,spermatogenesis,spermatogenesis
35,What is the external genitalia rationalised 202324?,pelvic region,pelvic region
36,What is the rationalised 202324?,the sex of the baby is determined by the father and not by the mother,the sex of the baby is determined by the father and not by the mother
37,What is the placen?,the placenta,the placenta
38,What is the normal internal body temperature needed for spermatogenesis in adults?,2–2.5o C,2–2.5o C
39,What can also be broken by a sudden fall or jolt?,The hymen,The hymen
40,What is the term for the projections on the trophoblast?,chorionic villi,chorionic villi
41,What is the main reason for increased?,secretion of gonadotropin releasing hormone,secretion of gonadotropin releasing hormone
42,What hormones are induced by changes in the?,androgens,androgens
43,What is the name of the sperms in males?,gametes,gametes
44,What percentage of sperms carry the x chromosome?,50 per cent,50 per cent
45,What is the corpus lute?,luteinising hormone,luteinising hormone
46,What would the zygote carry xy form a male?,XY,XY
47,What is released by the penis into the vagina?,semen,semen
48,What hormone acts at the anterior pituitary gland?,GnRH,GnRH
49,What is the step of implantation that leads to pregnancy?,uterine  wall,uterine  wall
50,What are the three layers of the inner cell mass called?,endometrium,endometrium
51,What is the male accessory glands called?,menarche,menarche
52,What is the first menstruation called in humans?,menarche,menarche
53,What is the name?,lobules testicular,lobules testicular
54,What is the thickness of each ova?,2  to  3  cm,2  to  3  cm
55,What is the primary female sex organs that produce the female 28 gamete ovum and several steroid hormones ovarian hormones?,Ovaries,Ovaries
56,What is the name of the trophoblast that is surrounded by uterine tissue and maternal blood?,chorionic villi,chorionic villi
57,What is the result of breakdown of endometrial lining of the uter?,menstrual flow,menstrual flow
58,What is the placenta?,facilitate  the  supply  of  oxygen  and  nutrients  to  the embryo,facilitate  the  supply  of  oxygen  and  nutrients  to  the embryo
59,How many ovaries are located on each side of the lower abdomen?,one,one
60,What is the name of the hormone?,androgens,androgens
61,Where is the male reproductive system located?,pelvic region,pelvic region
62,What do the tubules of each lobe join to?,mammary duct,mammary duct
63,What is oogenesis?,The process of formation of a mature female gamete,The process of formation of a mature female gamete
64,What is the newborn baby fed by the mother lactation during the initial few months of growth exercises 39 1 fill in the blanks a humans reproduce asexually?,parturition,parturition
65,What are interstitial spaces called?,lobules testicular,lobules testicular
66,What is the process called that produces spermatozoa sperms?,gametogenesis,gametogenesis
67,What percentage of sper?,"2, 4, 8, 16","2, 4, 8, 16"
68,What is the process of formation of a mature female gamete markedly different from?,gametogenesis,gametogenesis
69,What do seminiferous tubules of the testis open into?,mammary tubules,mammary tubules
70,What are the primary female sex organs that produce the female?,Ovaries,Ovaries
71,What secretions help the sperm enter into the cytoplasm of the ovum?,oxygen  and  nutrients,oxygen  and  nutrients
72,What is the cause of the breakdown of the endometrial lining of the uterus?,menstrual flow,menstrual flow
73,What is the name of the graafian?,Graafian follicle,Graafian follicle
74,What is not a reliable indicator of virginity or sexual experience truefalse g presence or absence of hymen is not a reliable indicator of virginity or sexual experience truefalse g presence or absence of?,the presence or absence of hymen,the presence or absence of hymen
75,What do sertoli cells provide to the dividing germ cells?,nutrition,nutrition
76,What is the main reason for increased production of these hormones?,supporting  the  fetal  growth,supporting  the  fetal  growth
77,What is the name of the genital tract insemination?,vagina,vagina
78,What is the infundibulum that leads to a wider view of the female reproductive system?,ampulla,ampulla
79,What is the hymen?,torn during the first coitus (intercourse),torn during the first coitus (intercourse)
80,What is the pouch called that helps in maintaining the low temperature of the testes?,lactation,lactation
81,What is the cytoplasm of the ovum?,"zona  pellucida  and  the  plasma 
membrane","zona  pellucida  and  the  plasma 
membrane"
82,What is the name of the trophoblast that is surrounded by the uterine tissue and maternal blood?,chorionic villi,chorionic villi
83,What is the first sign of growing foetus?,limbs and digits,limbs and digits
84,What is the length of the testis?,4 to 5 cm,4 to 5 cm
85,What is the process called that transforms spermatids into spermatozoa sperms?,ovulation,ovulation
86,What is the name of the hormone that increases the se?,androgens,androgens
87,What is the secondary follicle called?,haploid cells called secondary  spermatocytes,haploid cells called secondary  spermatocytes
88,What is the outer layer called?,trophoblast,trophoblast
89,What is the follicular phase?,The  menstrual  phase,The  menstrual  phase
90,What are the primary follicles called?,lobules testicular,lobules testicular
91,What are the leydig cells called?,lobules testicular,lobules testicular
92,What phase is followed by the menstrual phase?,reproductive cycle,reproductive cycle
93,What is the female reproductive system located in?,menstrual cycle,menstrual cycle
94,What causes menstrual flow?,breakdown of endometrial lining,breakdown of endometrial lining
95,What is parturition induced by?,delivery of the baby,delivery of the baby
96,What is the term for the period that ends around 50 years of age?,menopause,menopause
97,What is the second meiotic division?,prophase-I,prophase-I
98,What do mammary glands differentiate during pregnancy and secrete after childbirth?,milk,milk
99,What is the urethra?,junction of the two labia minora above the urethral opening,junction of the two labia minora above the urethral opening
100,What is the main event of the menstrual cycle shown in figure 2 9?,The cycle starts with the menstrual phase,The cycle starts with the menstrual phase
101,What is the female reproductive system?,menstrual cycle,menstrual cycle
102,What is the epididymis that leads to?,vas deferens,vas deferens
103,What is the ov?,haploid gametes,haploid gametes
104,What are the regions outside of the seminiferous tubules called?,scrotum,scrotum
105,What do fimbriae do?,help in collection of the ovum after ovulation,help in collection of the ovum after ovulation
